Asm                                       Assembler                              (jalAsm)
Blank                                     Blank                                  (fdccBlank)
Number                                    Blank                                  (fdccNumber)
ScriptValue                               Boolean                                (actionScriptValue)
BoolValue                                 Boolean                                (asnBoolValue)
Boolean                                   Boolean                                (autohotkeyBoolean)
Truth                                     Boolean                                (cabalTruth)
BoolDenot                                 Boolean                                (cleanBoolDenot)
OptBoolean                                Boolean                                (cmusrcOptBoolean)
Boolean                                   Boolean                                (cppBoolean)
Boolean                                   Boolean                                (dBoolean)
Boolean                                   Boolean                                (denyhostsBoolean)
InstallX                                  Boolean                                (descInstallX)
Boolean                                   Boolean                                (dylanBoolean)
Boolean                                   Boolean                                (eBoolean)
Bool                                      Boolean                                (eiffelBool)
Boolean                                   Boolean                                (erlangBoolean)
Boolean                                   Boolean                                (etermBoolean)
Boolean                                   Boolean                                (fanBoolean)
Boolean                                   Boolean                                (fortranBoolean)
Boolean                                   Boolean                                (framescriptBoolean)
Boolean                                   Boolean                                (gBoolean)
Boolean                                   Boolean                                (gitconfigBoolean)
Boolean                                   Boolean                                (helpBoolean)
Boolean                                   Boolean                                (hostconfBoolean)
Boolean                                   Boolean                                (hsBoolean)
Boolean                                   Boolean                                (htmlosBoolean)
Bit                                       Boolean                                (jalBit)
Boolean                                   Boolean                                (jalBoolean)
ScriptBoolean                             Boolean                                (javaScriptBoolean)
Boolean                                   Boolean                                (jovialBoolean)
TriState                                  Boolean                                (kconfigTriState)
Bool                                      Boolean                                (laceBool)
Boolean                                   Boolean                                (ldapconfBoolean)
Boolean                                   Boolean                                (lftpBoolean)
Boolean                                   Boolean                                (liquidBoolean)
Boolean                                   Boolean                                (litestepBoolean)
Boolean                                   Boolean                                (logindefsBoolean)
Boolean                                   Boolean                                (lynxBoolean)
Boolean                                   Boolean                                (manconfBoolean)
Boolean                                   Boolean                                (melBoolean)
Boolean                                   Boolean                                (mglBoolean)
StdConst                                  Boolean                                (modula2StdConst)
Boolean                                   Boolean                                (monkBoolean)
Boolean                                   Boolean                                (mplayerconfBoolean)
BoolVal                                   Boolean                                (mrxvtrcBoolVal)
Quadopt                                   Boolean                                (muttrcQuadopt)
SetBoolAssignment                         Boolean                                (muttrcSetBoolAssignment)
SetQuadAssignment                         Boolean                                (muttrcSetQuadAssignment)
Bool                                      Boolean                                (mvBool)
Boolean                                   Boolean                                (naturalBoolean)
Boolean                                   Boolean                                (ncfBoolean)
Boolean                                   Boolean                                (ngxBoolean)
Boolean                                   Boolean                                (nsisBoolean)
Boolean                                   Boolean                                (ocBoolean)
Boolean                                   Boolean                                (ocamlBoolean)
Boolean                                   Boolean                                (occamBoolean)
Boolean                                   Boolean                                (pascalBoolean)
Boolean                                   Boolean                                (pdfBoolean)
Boolean                                   Boolean                                (phpBoolean)
BooleanLiteral                            Boolean                                (plsqlBooleanLiteral)
Boolean                                   Boolean                                (postscrBoolean)
Boolean                                   Boolean                                (rBoolean)
Boolean                                   Boolean                                (rBoolean)
BooleanArg                                Boolean                                (ratpoisonBooleanArg)
Boolean                                   Boolean                                (readlineBoolean)
Boolean                                   Boolean                                (rebolBoolean)
Binary                                    Boolean                                (rplBinary)
Decimal                                   Boolean                                (rplDecimal)
Hexadecimal                               Boolean                                (rplHexadecimal)
Octal                                     Boolean                                (rplOctal)
Boolean                                   Boolean                                (rubyBoolean)
Boolean                                   Boolean                                (schemeBoolean)
Boolean                                   Boolean                                (scilabBoolean)
Boolean                                   Boolean                                (screenBoolean)
Bool                                      Boolean                                (sgmldeclBool)
Boolean                                   Boolean                                (sicadBoolean)
Boolean                                   Boolean                                (simulaBoolean)
Boolean                                   Boolean                                (sliceBoolean)
Boolean                                   Boolean                                (slpconfBoolean)
AttrBValue                                Boolean                                (slpregAttrBValue)
Boolean                                   Boolean                                (smlBoolean)
Boolean                                   Boolean                                (specmanBoolean)
Boolean                                   Boolean                                (sqlBoolean)
Boolean                                   Boolean                                (tadsBoolean)
Boolean                                   Boolean                                (tidyBoolean)
Boolean                                   Boolean                                (ucBoolean)
Boolean                                   Boolean                                (ungbarBoolean)
Boolean                                   Boolean                                (vbBoolean)
Boolean                                   Boolean                                (webmacroBoolean)
Boolean                                   Boolean                                (wgetBoolean)
Boolean                                   Boolean                                (xinetdBoolean)
ValBools                                  Boolean                                (zssValBools)
ScriptCharacter                           Character                              (actionScriptCharacter)
Character                                 Character                              (asnCharacter)
Character                                 Character                              (bCharacter)
Character                                 Character                              (cCharacter)
Character                                 Character                              (chillCharacter)
CharDenot                                 Character                              (cleanCharDenot)
Character                                 Character                              (cocoCharacter)
Character                                 Character                              (csCharacter)
Character                                 Character                              (dCharacter)
Character                                 Character                              (dylanCharacter)
Character                                 Character                              (eiffelCharacter)
Modifier                                  Character                              (erlangModifier)
Range                                     Character                              (erlpegRange)
CharOps                                   Character                              (forthCharOps)
Character                                 Character                              (gdbCharacter)
Character                                 Character                              (gdmoCharacter)
Range                                     Character                              (gmRange)
Character                                 Character                              (goCharacter)
Character                                 Character                              (helpCharacter)
Character                                 Character                              (hsCharacter)
Character                                 Character                              (iconCharacter)
Character                                 Character                              (initexCharacter)
Character                                 Character                              (jamCharacter)
ScriptCharacter                           Character                              (javaScriptCharacter)
Character                                 Character                              (jpropertiesCharacter)
Character                                 Character                              (laceCharacter)
Symbols                                   Character                              (loutSymbols)
Character                                 Character                              (lpcCharacter)
Character                                 Character                              (maximaCharacter)
Literal                                   Character                              (modsim3Literal)
Char                                      Character                              (monkChar)
Character                                 Character                              (nqcCharacter)
Character                                 Character                              (ocamlCharacter)
Char                                      Character                              (occamChar)
Character                                 Character                              (perlCharacter)
Character                                 Character                              (pikeCharacter)
CharLiteral                               Character                              (plsqlCharLiteral)
Character                                 Character                              (rcCharacter)
Character                                 Character                              (rebolCharacter)
CharOps                                   Character                              (revaCharOps)
Character                                 Character                              (rexxCharacter)
Character                                 Character                              (rtfCharacter)
ASCIICode                                 Character                              (rubyASCIICode)
Ampersand                                 Character                              (sassAmpersand)
Char                                      Character                              (schemeChar)
Character                                 Character                              (schemeCharacter)
Character                                 Character                              (simulaCharacter)
Character                                 Character                              (slCharacter)
Character                                 Character                              (slangCharacter)
Character                                 Character                              (smlCharacter)
Character                                 Character                              (ucCharacter)
BinaryString                              Character                              (ungbarBinaryString)
Character                                 Character                              (veraCharacter)
Character                                 Character                              (verilogCharacter)
Character                                 Character                              (verilogamsCharacter)
Character                                 Character                              (virataCharacter)
Character                                 Character                              (wsmlCharacter)
Character                                 Character                              (xmathCharacter)
configcomment                             Comment
Comment                                   Comment                                (autoitComment)
UnilineComment                            Comment                                (cocoUnilineComment)
Comment                                   Comment                                (oraComment)
AspVBSComment                             Comment                                (AspVBSComment)
AspVBSLineNumber                          Comment                                (AspVBSLineNumber)
CfgComment                                Comment                                (CfgComment)
DnsmasqComment                            Comment                                (DnsmasqComment)
GnashComment                              Comment                                (GnashComment)
HBComment                                 Comment                                (HBComment)
HBFoobar                                  Comment                                (HBFoobar)
IPFComment                                Comment                                (IPFComment)
IstComment                                Comment                                (IstComment)
OPLComment                                Comment                                (OPLComment)
ProgressComment                           Comment                                (ProgressComment)
VRMLComment                               Comment                                (VRMLComment)
Comment                                   Comment                                (a2psComment)
Comment                                   Comment                                (a65Comment)
Comment                                   Comment                                (aapComment)
Comment                                   Comment                                (abapComment)
Comment                                   Comment                                (abaqusComment)
Comment                                   Comment                                (abcComment)
Comment                                   Comment                                (abelComment)
Comment                                   Comment                                (acedbComment)
ScriptComment                             Comment                                (actionScriptComment)
ScriptLineComment                         Comment                                (actionScriptLineComment)
PatComment                                Comment                                (aflexPatComment)
Comment                                   Comment                                (ahdlComment)
Comment                                   Comment                                (alsaconfComment)
Comment                                   Comment                                (amiComment)
Comment                                   Comment                                (amlComment)
Comment                                   Comment                                (amplComment)
Comment                                   Comment                                (apComment)
Comment                                   Comment                                (apacheComment)
Comment                                   Comment                                (archComment)
Comment                                   Comment                                (asm68kComment)
Comment                                   Comment                                (asmComment)
SpecialComment                            Comment                                (asmSpecialComment)
